zip_code,state,county,city,population,population_density,median_household_income,average_household_income,median_age,poverty_rate,unemployment_rate,land_area_sq_mi,geoid
12057,New York,,,1789.0,,,,,,,,
12058,New York,,,1220.0,,,,,,,,
12059,New York,,,1530.0,,,,,,,,
12060,New York,,,1859.0,,,,,,,,
12061,New York,,,9854.0,,,,,,,,
12062,New York,,,1650.0,,,,,,,,
12063,New York,,,665.0,,,,,,,,
12064,New York,,,342.0,,,,,,,,
12065,New York,,,45116.0,,,,,,,,
12066,New York,,,1863.0,,,,,,,,
12067,New York,,,1165.0,,,,,,,,
12068,New York,,,2503.0,,,,,,,,
12069,New York,,,425.0,,,,,,,,
12070,New York,,,2011.0,,,,,,,,
12071,New York,,,283.0,,,,,,,,
12072,New York,,,2882.0,,,,,,,,
12074,New York,,,2848.0,,,,,,,,
12075,New York,,,3248.0,,,,,,,,
12076,New York,,,1549.0,,,,,,,,
12077,New York,,,7017.0,,,,,,,,
12078,New York,,,22589.0,,,,,,,,
12082,New York,,,2.0,,,,,,,,
12083,New York,,,3844.0,,,,,,,,
12084,New York,,,5328.0,,,,,,,,
12085,New York,,,357.0,,,,,,,,
12086,New York,,,1587.0,,,,,,,,
12087,New York,,,1584.0,,,,,,,,
12090,New York,,,5482.0,,,,,,,,
12092,New York,,,1208.0,,,,,,,,
12093,New York,,,1276.0,,,,,,,,
12094,New York,,,2656.0,,,,,,,,
12095,New York,,,12391.0,,,,,,,,
12106,New York,,,1864.0,,,,,,,,
12108,New York,,,350.0,,,,,,,,
12110,New York,,,20081.0,,,,,,,,
12115,New York,,,60.0,,,,,,,,
12116,New York,,,1787.0,,,,,,,,
12117,New York,,,2871.0,,,,,,,,
12118,New York,,,17069.0,,,,,,,,
12120,New York,,,600.0,,,,,,,,
12121,New York,,,2280.0,,,,,,,,
12122,New York,,,3596.0,,,,,,,,
12123,New York,,,4457.0,,,,,,,,
12124,New York,,,298.0,,,,,,,,
12125,New York,,,1141.0,,,,,,,,
12130,New York,,,233.0,,,,,,,,
12131,New York,,,183.0,,,,,,,,
12132,New York,,,111.0,,,,,,,,
12134,New York,,,3846.0,,,,,,,,
12136,New York,,,1043.0,,,,,,,,
12137,New York,,,2077.0,,,,,,,,
12138,New York,,,2695.0,,,,,,,,
12139,New York,,,227.0,,,,,,,,
12140,New York,,,1512.0,,,,,,,,
12143,New York,,,5664.0,,,,,,,,
12144,New York,,,22111.0,,,,,,,,
12147,New York,,,466.0,,,,,,,,
12148,New York,,,4023.0,,,,,,,,
12149,New York,,,2038.0,,,,,,,,
12150,New York,,,710.0,,,,,,,,
12151,New York,,,967.0,,,,,,,,
12153,New York,,,669.0,,,,,,,,
12154,New York,,,2777.0,,,,,,,,
12155,New York,,,1685.0,,,,,,,,
12156,New York,,,808.0,,,,,,,,
12157,New York,,,4713.0,,,,,,,,
12158,New York,,,5878.0,,,,,,,,
12159,New York,,,8163.0,,,,,,,,
12160,New York,,,716.0,,,,,,,,
12161,New York,,,99.0,,,,,,,,
12164,New York,,,539.0,,,,,,,,
12165,New York,,,220.0,,,,,,,,
12166,New York,,,1635.0,,,,,,,,
12167,New York,,,2279.0,,,,,,,,
12168,New York,,,1752.0,,,,,,,,
12169,New York,,,417.0,,,,,,,,
12170,New York,,,5351.0,,,,,,,,
12172,New York,,,176.0,,,,,,,,
12173,New York,,,2099.0,,,,,,,,
12174,New York,,,427.0,,,,,,,,
12175,New York,,,612.0,,,,,,,,
12176,New York,,,393.0,,,,,,,,
12177,New York,,,387.0,,,,,,,,
12180,New York,,,53479.0,,,,,,,,
12182,New York,,,14867.0,,,,,,,,
12183,New York,,,2970.0,,,,,,,,
12184,New York,,,7787.0,,,,,,,,
12185,New York,,,1709.0,,,,,,,,
12186,New York,,,6512.0,,,,,,,,
12187,New York,,,752.0,,,,,,,,
12188,New York,,,10988.0,,,,,,,,
