zipcode,total_rat_sightings,mature_rat_sightings,closed_rat_sightings,median_resolution_days,average_resolution_days,avg_p90_resolution_days,resolved_within_30_days,not_resolved_within_30_days,avg_percent_unresolved_within_30_days,represented_inspections,inspected_restaurants,inspections_with_04k,percent_inspections_with_04k,complaint_percentile,inspection_evidence_percentile,potential_underreporting_score,interpretation
10471,133.0,125.0,131.0,1.21,5.67,11.022000000000002,120.0,5.0,2.666499999999999,80.0,49.0,1.0,1.25,49.4,21.9,-27.5,Datasets broadly similar
10472,218.0,209.0,209.0,0.0,2.31,5.1965,206.0,3.0,1.3255000000000052,199.0,102.0,7.0,3.52,69.1,63.5,-5.6,Datasets broadly similar
10473,118.0,110.0,111.0,0.58,3.03,7.33684210526316,108.0,2.0,2.5063157894736747,49.0,27.0,1.0,2.04,43.3,33.7,-9.6,Datasets broadly similar
10474,64.0,62.0,63.0,0.0,1.99,4.63,62.0,0.0,0.0,64.0,32.0,6.0,9.38,29.2,98.3,69.1,High potential under-reporting signal
10475,14.0,13.0,14.0,2.96,4.35,5.152222222222222,13.0,0.0,0.0,124.0,67.0,0.0,0.0,8.4,0.0,-8.4,Datasets broadly similar
11004,14.0,12.0,11.0,0.0,6.0,9.424285714285714,10.0,2.0,25.0,51.0,32.0,0.0,0.0,8.4,0.0,-8.4,Datasets broadly similar
11101,184.0,179.0,178.0,0.0,7.51,20.156315789473684,165.0,14.0,8.672105263157874,660.0,360.0,11.0,1.67,64.0,27.0,-37.0,Datasets broadly similar
11102,156.0,149.0,145.0,0.0,6.1,9.9715,139.0,10.0,4.4835000000000065,147.0,85.0,3.0,2.04,56.7,33.7,-23.0,Datasets broadly similar
11103,664.0,624.0,653.0,2.83,7.43,11.7565,587.0,37.0,6.165000000000006,447.0,240.0,20.0,4.47,96.6,74.2,-22.4,Datasets broadly similar
11104,158.0,152.0,150.0,0.19,7.14,17.854499999999998,139.0,13.0,8.888999999999996,192.0,115.0,4.0,2.08,57.3,35.4,-21.9,Datasets broadly similar
11105,321.0,305.0,284.0,0.48,5.18,11.8805,274.0,31.0,7.383499999999998,248.0,146.0,6.0,2.42,83.1,43.8,-39.3,Datasets broadly similar
11106,220.0,206.0,206.0,2.02,9.03,11.0825,186.0,20.0,4.3155,300.0,176.0,4.0,1.33,70.2,24.2,-46.0,Reporting exceeds restaurant evidence
11109,6.0,6.0,6.0,2.0,1.6,1.1675,6.0,0.0,0.0,10.0,2.0,0.0,0.0,,,Insufficient data,
11201,193.0,181.0,185.0,0.04,4.52,9.8715,175.0,6.0,2.5815000000000055,716.0,446.0,12.0,1.68,66.3,27.5,-38.8,Datasets broadly similar
11203,250.0,241.0,242.0,0.0,5.66,21.381500000000003,229.0,12.0,4.561499999999995,225.0,115.0,8.0,3.56,74.7,64.6,-10.1,Datasets broadly similar
11204,182.0,167.0,171.0,0.0,3.61,8.494000000000002,164.0,3.0,2.25,233.0,125.0,7.0,3.0,63.5,53.9,-9.6,Datasets broadly similar
11205,418.0,351.0,403.0,1.83,5.97,15.3045,333.0,18.0,4.9809999999999945,270.0,142.0,8.0,2.96,88.8,52.8,-36.0,Datasets broadly similar
11206,419.0,396.0,407.0,0.17,5.21,12.153,378.0,18.0,3.7964999999999947,304.0,192.0,18.0,5.92,89.3,86.5,-2.8,Datasets broadly similar
11207,302.0,283.0,290.0,0.0,3.05,7.621,277.0,6.0,2.636499999999998,247.0,143.0,9.0,3.64,80.9,66.3,-14.6,Datasets broadly similar
